Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Classroom,Room 101,Asset / Capex,Softboard,Soft Board 240x120,SMDGSB1800011,1,unit,2020-12-14,Active,Baik,GSB
Classroom,Room 101,Asset / Capex,Softboard,Soft Board 240x120,SMDGSB1800012,1,unit,2020-12-14,Active,Baik,GSB
Classroom,Room 101,Asset / Capex,UKS,Box P3k,SMDGUK1800002,1,unit,2020-12-14,Active,Baik,GUK
Classroom,Room 101,Asset / Capex,UKS,Timbangan Badan,SMDGUK1800008,1,unit,2020-12-14,Active,Baik,GUK
Classroom,Room 101,Asset / Capex,WASTAFEL,Wastafel Toto,SMDGWP1800001,1,unit,2020-12-14,Active,Baik,GWP
Classroom,Room 101,Asset / Capex,WhiteBoard,White Board 120x120,SMDGWB1800006,1,unit,2020-12-14,Active,Baik,GWB
Classroom,Room 101,Asset / Capex,WhiteBoard,White Board 60x40,SMDGWB1800029,1,unit,2020-12-14,Active,Baik,GWB
Classroom,Room 102,Asset / Capex,AC,AC Daikin,SMDGAC1900007,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 102,Asset / Capex,AC,AC Daikin,SMDGAC1900008,1,unit,2020-12-14,Active,Baik,GAC
Classroom,Room 102,Asset / Capex,Access Point,Access Point Unifi AP AC Pro,SMDIAP2100003,1,unit,2018-07-10,Active,Baik,IAP
Classroom,Room 102,Asset / Capex,BenQ Interactive Digital,BenQ Interactive Digital,SMDISB2300001,1,unit,2022-07-28,Active,Baik,ISB
Classroom,Room 102,Asset / Capex,braket Standing,braket Standing,SMDIBS2300001,1,unit,2023-05-03,Active,Baik,IBS
Classroom,Room 102,Asset / Capex,KURSI,Kursi Guru Beroda,SMDGKR1900168,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Guru Tanpa Roda,SMDGKR1900172,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800186,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800187,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800189,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800190,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800191,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800192,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800193,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800194,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800195,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800196,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800198,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800199,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800200,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800201,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800202,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800203,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800204,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800205,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800206,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800207,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800209,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800211,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,KURSI,Kursi Yaris,SMDGKS1800212,1,unit,2020-12-14,Active,Baik,GKR
Classroom,Room 102,Asset / Capex,Lemari,Filling Cabinet 4 Laci,SMDGLM1800018,1,unit,2019-06-19,Active,Baik,GLM
Classroom,Room 102,Asset / Capex,Lemari,Spencer Cabinet Informa,GLM21070002,3,unit,2021-05-28,Active,Baik,GLM
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200137,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200140,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200146,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200155,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200157,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200164,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200165,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200166,1,unit,2020-12-14,Active,Baik,GMJ
Classroom,Room 102,Asset / Capex,Meja,Meja Custom Segitiga Curve,SMDGMJ2200167,1,unit,2020-12-14,Active,Baik,GMJ
