"Sekolah Citra Kasih, Samarinda",,,,,,,,,,,
Room Name,Room Code,Item Category,Item Type,Item Name,Barcode,Qty,Unit,Date Added,Barcode Status,Status,Prefix
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Keyboard Casio CTX 800,SMDGAM2300009,1,unit,2023-04-06,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Keyboard Casio CTX 800,SMDGAM2300010,1,unit,2023-04-06,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Keyboard Yamaha PSR - E363,SMDGAM1900002,1,unit,2020-12-14,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Microphone Wireless Dusen Berg JTSS 633,SMDGAM2300014,1,unit,2020-06-02,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Mixer,SMDGAM2100001,1,unit,2021-07-19,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,MPK Midi Controler Original ,SMDGAM2400019,1,unit,2024-09-10,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,PERKUSI BARCHIME GVT-CH 363,SMDGAM2400014,2,unit,2024-05-14,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Roland Arranger Keyboard EX10 (stand Exclude),SMDGAM2500015,1,unit,2025-08-11,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Set Angklung Orkestra,SMDGAM1900004,1,unit,2020-12-14,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,Set Angklung Orkestra,SMDGAM1900005,1,unit,2020-12-14,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Alat Musik,"Speaker Active Baretone 15""",SMDGAM2200001,1,unit,2020-06-02,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,GITAR,Gitar Bass Gilmore GFJ-60,GAM21040001,1,unit,2021-04-05,Active,Baik,GAM
Multi Purpose,Audio Visual Room(404),Asset / Capex,Projector,Epson,SMDIPJ0000018,1,unit,2018-07-10,Active,Baik,IPJ
Multi Purpose,Audio Visual Room(404),Asset / Capex,Speaker Aktif,Speaker Aktif,SMDGSS2200001,1,unit,2020-12-02,Active,Baik,GSS
Multi Purpose,Audio Visual Room(404),Asset / Capex,Speaker Aktif,Speaker Aktif,SMDGSS2200002,1,unit,2020-12-02,Active,Baik,GSS
Multi Purpose,Audio Visual Room(404),Asset / Capex,Speaker Aktif,Speaker Aktif,SMDGSS2200003,1,unit,2020-12-02,Active,Baik,GSS
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,AC,AC Daikin,SMDGAC1900034,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,AC,AC Daikin,SMDGAC2300009,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,AC,AC Daikin,SMDGAC2300010,1,unit,2020-12-14,Active,Baik,GAC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300023,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300024,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300025,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300026,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300027,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300028,1,unit,2023-10-16,Active,Baik,IPC
Multi Purpose,Computer Lab JHS SHS - 306,Asset / Capex,PC,AIO Lenovo i5,SMDIPC2300029,1,unit,2023-10-16,Active,Baik,IPC
